gene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000215271,170,222,242,146,210,288,161,192
ENSG00000215288,0,3,2,1,2,6,0,3
ENSG00000215297,1,0,0,0,0,0,0,0
ENSG00000215365,0,0,0,0,0,0,0,0
ENSG00000215380,0,0,0,0,0,0,0,0
ENSG00000215398,0,0,0,0,0,0,0,0
ENSG00000215409,0,0,0,0,0,0,0,0
ENSG00000215512,3,1,3,1,2,4,4,2
ENSG00000215567,0,0,0,0,0,0,0,0
ENSG00000215838,2,2,4,1,3,3,1,0
ENSG00000215840,1,1,0,0,3,0,0,0
ENSG00000215861,106,74,443,317,286,204,394,352
ENSG00000216285,0,0,6,0,5,7,0,0
ENSG00000216324,0,0,0,0,0,0,0,0
ENSG00000216352,0,0,0,0,0,0,0,0
ENSG00000216360,4,0,1,2,1,3,1,0
ENSG00000216519,0,0,0,0,0,0,0,0
ENSG00000216523,0,0,0,0,0,0,0,0
ENSG00000216621,0,0,0,0,0,1,2,1
ENSG00000216663,0,0,0,0,0,0,0,0
ENSG00000216687,1,0,0,0,2,0,0,0
ENSG00000216775,247,197,407,107,559,308,179,120
ENSG00000216809,18,10,14,11,18,21,9,7
ENSG00000216811,0,0,0,0,0,0,0,0
ENSG00000216844,0,0,0,0,0,0,0,0
ENSG00000216906,8,2,6,3,9,7,5,5
ENSG00000216966,0,0,0,0,0,0,0,0
ENSG00000217004,0,0,0,0,0,0,0,0
ENSG00000217041,0,0,0,0,0,0,0,0
ENSG00000217067,0,0,0,0,0,0,0,0
ENSG00000217078,0,0,0,0,0,0,0,0
ENSG00000217120,4,0,9,3,9,13,3,10
ENSG00000217135,0,0,0,0,0,0,0,0
ENSG00000217195,0,0,0,0,0,0,0,0
ENSG00000217331,0,0,0,0,0,0,0,0
ENSG00000217447,0,0,0,0,0,0,0,0
ENSG00000217488,0,1,0,0,0,1,0,0
ENSG00000217495,0,0,0,0,1,0,1,0
ENSG00000217557,0,0,0,1,0,0,0,0
ENSG00000217612,0,0,0,0,0,0,0,0
ENSG00000217631,0,0,0,0,0,0,0,0
ENSG00000217746,0,0,0,0,0,0,0,0
ENSG00000217769,0,0,0,0,0,0,0,1
ENSG00000217776,0,0,0,0,0,0,0,0
ENSG00000217786,0,0,0,0,0,0,0,0
ENSG00000217878,0,0,0,0,0,0,0,0
ENSG00000218029,0,0,0,0,0,0,0,0
ENSG00000218048,0,0,0,0,0,0,0,0
ENSG00000218125,0,0,0,0,0,0,0,0
ENSG00000218173,0,0,0,0,0,0,0,0
ENSG00000218175,3,0,2,0,5,2,2,0
ENSG00000218187,0,0,0,0,0,0,0,0
ENSG00000218274,0,0,0,0,0,0,0,0
ENSG00000218313,0,0,0,0,0,0,0,1
ENSG00000218418,3,1,2,2,1,3,1,1
ENSG00000218483,0,0,1,0,0,0,0,0
ENSG00000218499,0,0,0,0,0,0,0,0
ENSG00000218536,0,0,0,0,0,0,0,0
ENSG00000218561,0,0,0,0,0,0,0,0
ENSG00000218586,0,1,0,0,0,0,0,0
ENSG00000218596,0,0,0,1,1,0,0,0
ENSG00000218617,0,0,0,0,0,0,0,0
ENSG00000218682,0,1,0,1,0,0,0,0
ENSG00000218713,0,1,4,1,0,0,0,0
ENSG00000218730,0,0,0,0,0,0,0,0
ENSG00000218732,0,0,0,0,0,0,0,0
ENSG00000218757,0,0,0,0,0,1,0,0
ENSG00000218793,0,0,0,0,0,0,0,0
ENSG00000218809,0,0,0,0,0,0,0,0
ENSG00000218834,0,0,0,0,0,0,0,0
ENSG00000219039,1,0,1,0,1,1,0,0
ENSG00000219088,0,2,0,6,1,1,0,4
ENSG00000219150,0,0,0,0,0,0,0,0
ENSG00000219190,0,0,0,0,0,0,0,0
ENSG00000219201,0,0,3,0,0,4,0,4
ENSG00000219284,0,0,0,0,0,0,0,0
ENSG00000219298,0,0,0,0,0,0,0,0
ENSG00000219302,0,0,0,0,0,0,0,0
ENSG00000219375,0,0,0,0,0,0,0,0
ENSG00000219391,0,0,0,0,0,0,0,0
ENSG00000219453,0,0,0,0,0,0,0,0
ENSG00000219487,0,0,0,0,0,0,0,0
ENSG00000219529,0,0,5,2,4,5,0,2
ENSG00000219549,0,0,0,0,0,0,0,0
ENSG00000219604,2,1,1,2,1,1,3,0
ENSG00000219619,0,0,0,0,0,0,0,0
ENSG00000219622,0,0,0,0,0,0,0,0
ENSG00000219666,0,0,0,0,0,0,0,0
ENSG00000219681,0,0,0,0,0,0,0,0
ENSG00000219702,0,0,0,0,1,0,0,0
ENSG00000219757,0,0,0,0,0,0,0,0
ENSG00000219758,0,0,1,0,0,0,0,0
ENSG00000219784,0,0,0,0,0,0,0,0
ENSG00000219928,1,0,1,0,0,0,0,1
ENSG00000219951,3,0,2,0,0,2,0,0
ENSG00000219992,7,7,8,6,4,5,2,10
ENSG00000220030,0,0,0,0,0,0,0,0
ENSG00000220076,0,0,0,0,0,0,0,0
ENSG00000220130,0,0,1,0,0,1,0,0
ENSG00000220131,0,0,0,0,0,0,0,0
ENSG00000220139,0,0,0,0,0,0,0,0
ENSG00000220154,0,0,0,0,0,0,0,0
ENSG00000220204,0,0,0,0,0,0,0,0
ENSG00000220240,0,0,0,0,0,0,0,0
ENSG00000220291,0,0,1,0,0,0,0,0
ENSG00000220326,0,0,0,0,0,0,0,0
ENSG00000220370,0,0,0,0,0,0,0,0
ENSG00000220446,0,0,0,0,0,0,0,0
ENSG00000220506,1,0,2,2,2,1,0,1
ENSG00000220540,0,0,0,0,0,0,0,0
ENSG00000220548,0,0,0,1,0,1,1,0
ENSG00000220600,0,0,0,0,0,0,0,0
ENSG00000220643,0,0,0,0,0,0,0,0
ENSG00000220660,0,0,0,0,0,0,0,0
ENSG00000220695,0,1,1,0,0,1,0,0
ENSG00000220725,0,0,0,0,0,0,0,0
ENSG00000220739,0,0,0,0,0,0,0,0
ENSG00000220913,0,0,0,0,0,0,0,0
ENSG00000220949,0,0,0,0,0,0,0,0
ENSG00000220960,0,0,0,0,0,0,0,0
ENSG00000221870,0,0,0,0,0,0,0,0
ENSG00000221961,0,0,0,0,0,0,0,0
ENSG00000221972,0,1,0,0,0,0,0,0
ENSG00000221995,67,60,88,26,80,84,55,46
ENSG00000222024,0,0,1,0,0,2,0,0
ENSG00000223353,0,0,0,0,0,0,0,0
ENSG00000223359,0,0,0,0,0,0,0,0
ENSG00000223375,1,0,0,0,1,0,0,2
ENSG00000223377,0,0,0,0,0,0,0,0
ENSG00000223402,0,0,0,0,0,0,0,0
ENSG00000223419,0,0,0,0,0,0,0,0
ENSG00000223421,0,0,0,0,0,0,0,0
ENSG00000223422,0,0,0,0,0,0,0,0
ENSG00000223428,0,0,0,0,0,0,0,0
ENSG00000223429,0,0,0,0,1,0,0,0
ENSG00000223455,0,0,0,0,0,0,0,0
ENSG00000223495,1,1,0,0,0,1,0,0
ENSG00000223503,0,1,1,0,0,0,0,0
ENSG00000223514,0,0,0,0,0,0,0,0
ENSG00000223535,0,2,0,0,0,1,1,0
ENSG00000223538,0,0,0,0,0,0,0,0
ENSG00000223539,0,0,0,0,0,0,0,0
ENSG00000223544,0,0,0,0,0,0,0,0
ENSG00000223565,0,0,0,0,0,0,0,0
ENSG00000223589,0,0,0,0,0,0,0,0
ENSG00000223599,0,0,0,0,0,0,0,0
ENSG00000223602,0,0,1,0,1,0,0,0
ENSG00000223605,0,0,0,0,0,0,0,0
ENSG00000223615,0,0,0,0,0,0,0,0
ENSG00000223624,0,1,1,0,0,1,0,0
ENSG00000223628,0,0,0,0,0,0,0,0
ENSG00000223672,0,0,0,0,0,0,0,0
ENSG00000223679,0,0,0,0,0,0,0,0
ENSG00000223691,0,0,0,0,1,0,0,0
ENSG00000223708,0,0,0,0,0,0,0,0
ENSG00000223722,0,0,0,0,46,75,0,0
ENSG00000223779,3,6,8,4,14,14,13,5
ENSG00000223787,0,0,1,0,1,1,0,0
ENSG00000223798,10,6,1,0,0,0,0,0
ENSG00000223804,119,125,52,41,150,186,85,101
ENSG00000223836,1,1,0,1,0,1,0,0
ENSG00000223841,0,0,0,0,0,0,0,0
ENSG00000223844,0,0,0,0,0,0,0,0
ENSG00000223847,0,0,0,0,0,0,0,0
ENSG00000223849,0,0,1,1,2,1,1,0
ENSG00000223866,0,0,0,0,0,0,0,0
ENSG00000223867,0,0,0,0,0,0,0,0
ENSG00000223869,0,0,0,0,0,0,0,0
ENSG00000223889,0,0,0,0,0,0,0,0
ENSG00000223890,0,0,0,0,0,1,0,0
ENSG00000223892,0,0,1,0,0,2,3,0
ENSG00000223897,0,0,0,0,0,0,0,0
ENSG00000223908,0,0,0,0,0,0,0,0
ENSG00000223917,4,3,0,2,0,2,0,0
ENSG00000223920,0,0,0,0,1,0,0,0
ENSG00000223931,0,0,0,0,0,0,0,0
ENSG00000223948,0,0,0,0,0,0,0,0
ENSG00000223958,0,0,0,0,0,0,0,0
ENSG00000223967,0,0,0,0,0,0,0,0
ENSG00000223971,0,0,0,0,0,0,0,0
ENSG00000224001,0,0,0,0,0,0,0,0
ENSG00000224006,0,0,0,0,19,11,0,9
ENSG00000224012,0,0,0,0,0,0,0,0
ENSG00000224014,1,0,3,1,0,1,3,2
ENSG00000224016,0,0,0,0,0,0,0,0
ENSG00000224054,0,0,0,0,0,0,0,0
ENSG00000224067,0,0,0,1,2,1,0,1
ENSG00000224069,0,0,0,0,0,0,0,0
ENSG00000224092,0,0,0,0,0,0,0,0
ENSG00000224097,5,1,4,0,3,4,4,3
ENSG00000224104,0,0,0,0,0,0,0,0
ENSG00000224118,0,1,0,0,0,0,0,0
ENSG00000224131,0,0,0,0,0,0,0,0
ENSG00000224134,0,0,0,0,0,0,0,0
ENSG00000224136,1,0,0,0,0,0,0,0
ENSG00000224155,0,0,0,0,0,0,0,0
ENSG00000224166,0,0,0,0,0,0,0,0
ENSG00000224196,0,0,0,0,0,0,0,0
ENSG00000224207,0,0,0,0,0,1,0,0
ENSG00000224230,0,0,0,0,0,0,0,0
ENSG00000224252,0,0,0,0,0,0,0,0
ENSG00000224287,77,52,71,27,51,59,73,50
ENSG00000224302,0,0,1,0,0,1,0,0
ENSG00000224331,0,1,3,1,3,0,3,2
ENSG00000224335,0,0,0,0,1,1,0,0
ENSG00000224352,0,0,0,0,0,0,0,0
ENSG00000224365,0,0,0,0,0,0,0,0
ENSG00000224366,0,0,0,0,0,0,0,0
ENSG00000224370,2,1,4,3,4,3,1,3
ENSG00000224410,0,0,0,0,0,0,0,0
ENSG00000224412,0,0,0,0,0,0,0,0
ENSG00000224415,0,0,0,0,0,0,0,0
ENSG00000224427,1,0,1,0,0,0,0,1
ENSG00000224431,42,39,29,9,37,35,27,21
ENSG00000224436,0,0,0,0,0,0,0,0
ENSG00000224448,0,2,1,0,2,1,0,1
ENSG00000224484,1,0,0,1,1,0,0,0
ENSG00000224493,0,0,0,0,0,0,0,0
ENSG00000224518,0,0,0,0,0,0,0,0
ENSG00000224523,1,0,0,0,0,0,0,0
ENSG00000224548,0,0,0,0,0,0,0,0
ENSG00000224555,0,0,0,0,0,0,0,0
ENSG00000224556,0,0,0,0,0,0,0,0
ENSG00000224567,0,0,0,0,0,0,0,0
ENSG00000224570,0,0,1,0,0,0,0,0
ENSG00000224579,0,0,0,0,0,0,0,0
ENSG00000224585,0,0,0,0,0,0,0,0
ENSG00000224603,0,0,0,0,0,0,0,0
ENSG00000224604,0,0,0,0,0,0,0,0
ENSG00000224617,0,0,0,0,0,0,0,0
ENSG00000224630,0,0,0,0,0,0,0,0
ENSG00000224647,1,0,0,1,0,1,1,0
ENSG00000224653,0,0,0,0,0,0,0,0
ENSG00000224667,0,0,0,0,0,0,0,0
ENSG00000224669,0,0,0,0,0,0,0,0
ENSG00000224670,0,0,0,0,0,0,0,0
ENSG00000224681,0,0,0,0,0,0,0,0
ENSG00000224692,0,0,0,0,0,0,0,0
ENSG00000224710,0,0,0,0,0,0,0,0
ENSG00000224719,0,0,0,0,0,0,0,0
ENSG00000224735,0,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0,0
ENSG00000224836,0,0,0,0,0,0,0,0
ENSG00000224864,3,2,5,1,6,0,0,0
ENSG00000224869,0,0,0,0,0,0,0,0
ENSG00000224881,16,9,18,9,39,48,18,9
ENSG00000224886,0,0,0,0,2,0,0,0
ENSG00000224917,0,0,0,0,0,0,0,0
ENSG00000224921,0,0,0,0,0,0,0,0
ENSG00000224946,0,0,0,0,0,0,0,0
ENSG00000224967,1,0,2,0,1,1,0,0
ENSG00000224981,4,5,8,2,5,4,7,5
ENSG00000224987,0,0,0,0,0,0,0,0
ENSG00000224988,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0
ENSG00000225018,0,0,0,0,0,0,0,0
ENSG00000225046,0,0,0,0,0,0,0,0
ENSG00000225055,0,0,0,0,0,0,0,0
ENSG00000225078,0,0,0,0,0,0,0,0
ENSG00000225086,0,0,1,0,0,2,3,0
ENSG00000225114,0,0,0,0,0,0,0,0
ENSG00000225118,0,0,0,0,0,0,0,0
ENSG00000225120,0,0,1,0,2,2,4,5
ENSG00000225122,0,0,0,0,0,0,0,0
ENSG00000225123,0,0,0,0,0,0,1,0
ENSG00000225170,0,0,0,0,1,0,0,0
ENSG00000225178,17,7,3,5,0,9,7,0
ENSG00000225182,0,0,0,0,0,0,0,0
ENSG00000225236,0,0,0,0,0,0,0,0
ENSG00000225240,0,0,0,0,0,0,0,0
ENSG00000225244,0,0,0,0,0,0,0,0
ENSG00000225253,0,0,0,1,0,0,0,0
ENSG00000225297,0,0,0,0,0,0,0,0
ENSG00000225356,0,0,0,0,0,0,0,0
ENSG00000225360,0,0,0,0,0,0,0,0
ENSG00000225370,0,0,0,0,0,0,0,0
ENSG00000225384,0,0,0,0,0,0,0,0
ENSG00000225385,0,0,0,1,0,0,0,0
ENSG00000225397,0,0,0,0,0,0,0,0
ENSG00000225402,0,0,0,0,0,0,0,0
ENSG00000225448,0,0,0,0,0,0,0,0
ENSG00000225451,0,0,0,0,0,0,0,0
ENSG00000225475,0,0,0,0,0,0,0,0
ENSG00000225478,0,0,0,0,0,0,0,0
ENSG00000225480,1,0,0,0,0,0,0,0
ENSG00000225486,0,0,0,0,0,0,0,0
ENSG00000225505,0,0,1,0,0,0,0,0
ENSG00000225507,20,17,12,14,16,12,17,9
ENSG00000225522,0,0,0,0,0,0,0,0
ENSG00000225551,0,0,0,0,0,0,0,0
ENSG00000225571,0,0,0,0,0,0,0,0
ENSG00000225594,0,0,0,0,0,0,0,0
ENSG00000225625,0,0,0,0,0,0,0,0
ENSG00000225660,0,0,0,0,0,0,0,0
ENSG00000225678,0,0,1,0,1,0,0,0
ENSG00000225681,0,0,0,0,0,0,0,0
ENSG00000225704,3,1,4,3,4,2,3,0
ENSG00000225705,0,0,0,0,0,0,0,0
ENSG00000225711,0,0,0,0,0,0,0,0
ENSG00000225720,0,0,0,0,0,0,0,0
ENSG00000225726,2,2,0,1,3,0,0,0
ENSG00000225727,0,0,0,0,0,0,0,0
ENSG00000225741,0,0,0,0,0,0,0,0
ENSG00000225779,0,1,0,0,0,0,0,1
ENSG00000225795,0,0,0,0,0,0,0,0
ENSG00000225813,0,2,0,0,1,0,5,3
ENSG00000225840,5847,1857,4320,2731,5612,5855,3169,7329
ENSG00000225864,0,0,0,0,0,0,0,0
ENSG00000225869,0,0,0,0,0,0,0,0
ENSG00000225871,3,2,5,2,13,11,5,7
ENSG00000225876,0,0,0,0,0,0,0,0
ENSG00000225898,0,0,0,0,0,0,0,0
ENSG00000225906,0,0,0,0,0,0,0,0
ENSG00000225911,0,0,0,0,0,0,0,0
ENSG00000225925,0,0,0,0,0,0,0,0
ENSG00000225932,8,0,23,31,13,0,35,31
ENSG00000225939,0,0,0,0,0,0,0,0
ENSG00000225943,0,0,0,0,0,0,0,0
ENSG00000225947,0,0,0,0,0,0,0,0
ENSG00000225949,0,0,0,0,0,0,0,0
ENSG00000225957,0,0,0,0,0,0,0,0
ENSG00000225965,0,0,0,1,0,0,0,0
ENSG00000226014,0,0,0,0,0,0,0,0
ENSG00000226025,0,0,1,0,0,0,1,0
ENSG00000226040,0,0,0,0,0,0,0,0
ENSG00000226045,0,0,0,0,1,0,0,0
ENSG00000226072,2,0,1,0,0,0,0,0
ENSG00000226096,0,0,0,0,0,0,0,0
ENSG00000226109,6,0,0,0,0,0,0,0
ENSG00000226110,0,0,0,0,0,0,0,0
ENSG00000226117,0,0,0,0,0,0,0,0
ENSG00000226141,0,0,0,0,0,0,0,0
ENSG00000226152,0,0,0,0,0,0,0,0
ENSG00000226160,0,0,0,0,0,0,0,0
ENSG00000226166,0,0,0,0,0,0,0,0
ENSG00000226199,0,0,0,0,0,0,0,0
ENSG00000226211,0,0,0,0,0,0,0,0
ENSG00000226227,0,0,0,0,0,0,0,0
ENSG00000226268,13,0,0,6,13,3,4,2
ENSG00000226324,0,0,0,0,0,0,0,0
ENSG00000226329,21,14,25,20,18,32,13,18
ENSG00000226338,0,0,0,0,0,0,0,0
ENSG00000226394,0,0,0,0,0,0,0,0
ENSG00000226396,1,2,2,0,2,3,0,0
ENSG00000226400,0,0,0,0,0,0,0,0
ENSG00000226401,0,0,0,0,0,0,0,0
ENSG00000226410,0,0,0,0,1,1,0,0
ENSG00000226411,0,0,0,0,0,0,0,0
ENSG00000226429,0,0,0,0,0,0,0,0
ENSG00000226468,0,0,0,0,0,0,0,0
ENSG00000226474,0,0,0,0,0,0,0,0
ENSG00000226477,0,0,0,0,0,0,0,0
ENSG00000226499,0,1,0,1,2,0,0,0
ENSG00000226509,0,0,0,0,0,0,0,0
ENSG00000226515,0,0,0,0,0,0,0,0
ENSG00000226517,0,0,1,0,2,2,4,5
ENSG00000226521,0,0,0,0,0,0,0,0
ENSG00000226523,0,0,0,0,0,0,0,0
ENSG00000226532,0,0,0,0,0,0,0,1
ENSG00000226535,0,0,1,0,0,2,0,1
ENSG00000226558,0,0,0,0,0,0,0,0
ENSG00000226565,0,0,0,0,0,0,0,0
ENSG00000226570,0,0,1,0,0,0,0,0
ENSG00000226592,0,0,0,0,0,0,0,0
ENSG00000226595,0,0,0,0,0,0,0,0
ENSG00000226636,0,1,0,0,0,0,0,1
ENSG00000226736,0,0,0,0,0,0,0,0
ENSG00000226744,0,0,0,0,0,1,0,0
ENSG00000226750,0,0,0,0,0,0,0,0
ENSG00000226767,0,0,0,0,0,0,0,0
ENSG00000226773,0,0,0,0,0,0,0,0
ENSG00000226804,0,2,0,0,0,0,0,0
ENSG00000226810,0,0,0,0,0,0,0,0
ENSG00000226820,0,0,0,0,0,0,0,0
ENSG00000226834,0,0,0,0,0,0,0,0
ENSG00000226838,0,0,0,0,0,0,0,0
ENSG00000226843,0,0,0,0,0,0,0,0
ENSG00000226870,0,0,0,0,0,0,0,0
ENSG00000226886,0,0,0,0,0,0,0,0
ENSG00000226905,0,0,0,0,0,0,0,0
ENSG00000226952,0,0,0,0,0,0,0,0
ENSG00000226971,1,0,0,0,0,2,2,0
ENSG00000226973,0,0,0,0,0,0,0,0
ENSG00000226975,1,0,1,0,3,1,1,1
ENSG00000226987,0,0,0,0,1,0,1,0
ENSG00000226991,0,0,0,0,0,0,0,0
ENSG00000226999,0,0,0,0,0,0,0,0
ENSG00000227004,0,0,0,0,0,0,0,0
ENSG00000227015,0,0,1,0,0,0,1,0
ENSG00000227025,10,6,1,0,0,0,0,0
ENSG00000227034,0,0,0,0,0,0,0,0
ENSG00000227055,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0
ENSG00000227072,0,0,0,0,0,0,0,0
ENSG00000227077,0,0,0,0,0,0,0,0
ENSG00000227080,11,16,18,10,16,12,13,4
ENSG00000227113,0,0,2,0,0,2,0,0
ENSG00000227120,3,1,3,1,4,1,4,1
ENSG00000227133,0,0,0,0,0,0,0,0
ENSG00000227138,0,0,0,0,0,0,0,0
ENSG00000227141,0,6,1,5,0,2,1,7
ENSG00000227163,1,3,9,5,8,4,8,8
ENSG00000227236,0,0,0,0,0,0,0,0
ENSG00000227241,0,0,0,0,0,0,0,0
ENSG00000227242,12,14,10,13,8,12,11,15
ENSG00000227270,0,0,0,0,0,0,0,0
ENSG00000227291,0,0,0,0,0,0,0,0
ENSG00000227304,0,1,3,1,1,0,1,4
ENSG00000227329,6,5,3,1,10,5,3,4
ENSG00000227358,0,1,0,0,0,0,0,0
ENSG00000227370,0,2,0,1,0,3,0,4
ENSG00000227371,0,0,0,0,0,0,0,0
ENSG00000227393,0,0,0,0,0,0,0,0
ENSG00000227397,0,0,0,0,0,0,0,0
ENSG00000227413,1,2,0,1,1,4,0,1
ENSG00000227416,0,0,0,0,0,0,0,0
ENSG00000227417,0,0,0,0,0,0,0,0
ENSG00000227444,0,0,0,0,0,0,0,0
ENSG00000227493,0,0,0,0,0,0,0,0
ENSG00000227499,0,0,0,0,0,0,0,0
ENSG00000227511,0,0,0,0,0,0,0,0
ENSG00000227514,0,0,0,0,0,0,0,0
ENSG00000227532,0,0,0,0,0,0,0,0
ENSG00000227537,0,0,0,0,0,0,0,0
ENSG00000227545,0,0,0,0,0,0,0,0
ENSG00000227556,0,0,0,0,0,0,0,0
ENSG00000227573,0,0,0,0,0,0,0,1
ENSG00000227585,0,0,0,0,0,0,0,0
ENSG00000227615,5,0,1,0,1,0,1,0
ENSG00000227616,0,0,0,0,0,0,0,0
ENSG00000227623,0,0,0,0,0,0,0,0
ENSG00000227625,0,0,0,0,1,0,1,0
ENSG00000227632,0,0,4,6,6,11,8,7
ENSG00000227679,0,0,0,0,0,0,0,0
ENSG00000227700,12,10,7,6,19,18,11,9
ENSG00000227710,0,0,0,0,0,0,0,0
ENSG00000227711,0,0,0,0,0,0,0,0
ENSG00000227722,0,0,0,0,0,0,0,0
ENSG00000227728,0,0,0,0,0,0,0,0
ENSG00000227745,0,0,0,0,0,0,0,0
ENSG00000227747,0,0,0,0,0,0,0,0
ENSG00000227755,0,0,0,0,0,0,0,0
ENSG00000227766,0,0,1,1,0,0,1,0
ENSG00000227775,263,160,188,68,234,197,266,269
ENSG00000227785,0,0,0,0,0,0,0,0
ENSG00000227813,0,0,1,0,0,0,0,0
ENSG00000227834,0,0,0,0,0,0,1,0
ENSG00000227836,0,0,0,0,0,0,0,0
ENSG00000227842,0,0,0,0,1,0,0,0
ENSG00000227845,0,0,1,0,0,0,0,0
ENSG00000227854,1,0,0,0,0,0,0,0
ENSG00000227910,3,1,0,0,0,0,1,0
ENSG00000227919,0,0,0,0,0,0,0,0
ENSG00000227923,0,0,0,0,0,0,0,0
ENSG00000227934,0,0,2,0,0,3,1,0
ENSG00000227962,0,0,0,1,3,0,0,0
ENSG00000227971,0,0,0,0,0,0,0,0
ENSG00000227974,0,1,1,0,4,5,0,0
ENSG00000227989,0,0,0,0,0,0,0,0
ENSG00000227992,27,23,41,21,49,74,13,12
ENSG00000227994,0,0,0,0,0,0,0,0
ENSG00000228015,0,0,0,0,0,0,0,0
ENSG00000228019,1,0,2,0,3,3,0,1
ENSG00000228039,0,0,0,0,0,0,0,0
ENSG00000228040,0,0,0,0,0,0,0,0
ENSG00000228081,0,0,0,0,0,0,0,0
ENSG00000228085,0,0,0,0,0,0,1,0
ENSG00000228095,0,0,0,0,0,0,0,0
ENSG00000228112,0,0,0,0,0,0,0,0
ENSG00000228132,0,0,0,0,0,0,0,0
ENSG00000228143,0,0,0,0,0,0,0,0
ENSG00000228144,16,11,0,11,0,0,0,0
ENSG00000228154,0,0,0,0,0,1,0,0
ENSG00000228161,0,0,0,0,0,0,0,0
ENSG00000228167,0,0,0,0,0,0,0,0
ENSG00000228181,0,0,1,0,0,0,0,0
ENSG00000228191,0,0,0,0,0,0,0,0
ENSG00000228206,0,0,0,0,0,1,0,0
ENSG00000228207,0,0,0,0,0,0,0,0
ENSG00000228238,2,2,1,1,0,1,1,3
ENSG00000228257,0,0,0,0,0,0,0,0
ENSG00000228259,0,1,0,0,0,0,0,0
ENSG00000228286,0,0,0,0,0,0,0,0
ENSG00000228289,3,1,1,0,0,0,3,0
ENSG00000228292,2,0,0,0,0,1,1,0
ENSG00000228303,0,0,0,0,0,0,0,0
ENSG00000228327,498,395,963,447,427,528,478,329
ENSG00000228330,9,10,11,8,16,22,12,10
ENSG00000228335,4,0,3,0,5,4,1,1
ENSG00000228354,0,0,0,0,0,0,0,0
ENSG00000228360,2,2,0,0,1,2,1,1
ENSG00000228366,0,0,2,0,0,0,0,0
ENSG00000228407,0,0,0,1,0,0,3,4
ENSG00000228438,0,0,0,0,0,0,0,0
ENSG00000228464,0,0,0,0,0,0,0,0
ENSG00000228471,0,0,0,0,0,0,0,0
ENSG00000228477,0,1,0,0,0,1,0,0
ENSG00000228480,0,0,0,0,0,0,0,0
ENSG00000228490,0,0,0,0,0,0,0,0
ENSG00000228510,1,1,6,2,4,6,5,5
ENSG00000228522,0,0,0,0,0,0,0,0
ENSG00000228525,0,0,0,0,0,0,0,0
ENSG00000228530,0,0,0,0,0,0,0,0
ENSG00000228550,0,0,0,0,0,0,0,0
ENSG00000228572,0,0,0,0,0,0,0,0
ENSG00000228585,0,0,0,0,0,0,0,0
ENSG00000228626,1,1,3,0,5,2,0,0
ENSG00000228667,0,0,0,0,0,1,0,0
ENSG00000228681,7,4,7,0,14,7,9,6
ENSG00000228685,0,0,0,0,0,0,0,0
ENSG00000228687,0,0,0,0,0,0,0,0
ENSG00000228700,0,0,0,0,0,0,1,0
ENSG00000228702,3,1,1,1,0,0,1,2
ENSG00000228711,0,0,0,0,0,0,0,0
ENSG00000228713,0,0,0,0,0,0,0,0
ENSG00000228751,0,0,0,0,0,0,0,0
ENSG00000228757,0,0,0,0,0,0,0,0
ENSG00000228770,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0
ENSG00000228780,0,0,0,0,0,0,0,0
ENSG00000228790,0,0,0,0,0,0,0,0
ENSG00000228806,0,0,0,0,0,0,0,0
ENSG00000228814,0,0,0,0,0,0,0,0
ENSG00000228827,0,0,0,0,0,0,0,0
ENSG00000228829,0,1,0,0,0,0,0,0
ENSG00000228833,0,0,0,0,0,0,0,0
ENSG00000228855,0,0,0,0,0,0,0,0
ENSG00000228860,0,0,0,0,0,0,0,0
ENSG00000228897,0,2,3,4,2,8,2,1
ENSG00000228921,0,0,1,1,0,0,4,0
ENSG00000228935,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0
ENSG00000228953,0,0,0,0,0,0,0,0
ENSG00000228954,0,0,0,0,0,0,0,0
ENSG00000228957,0,0,0,0,0,0,0,1
ENSG00000228974,0,0,1,0,0,0,0,0
ENSG00000228982,0,0,0,0,0,0,0,0
ENSG00000229002,0,0,0,0,0,0,0,0
ENSG00000229010,0,0,0,0,0,0,0,0
ENSG00000229013,0,0,0,0,0,0,0,0
ENSG00000229016,0,0,0,0,0,0,0,0
ENSG00000229030,0,0,0,0,0,0,0,0
ENSG00000229032,0,0,0,0,0,1,0,0
ENSG00000229060,0,0,0,0,1,0,0,0
ENSG00000229064,0,0,0,0,0,0,0,0
ENSG00000229067,0,0,0,0,0,0,0,0
ENSG00000229090,0,0,0,0,0,0,0,0
ENSG00000229099,0,0,0,0,0,0,0,0
ENSG00000229112,0,0,0,0,0,0,0,0
ENSG00000229115,0,0,0,0,0,0,0,0
ENSG00000229143,0,0,0,0,0,0,0,0
ENSG00000229156,0,0,1,0,0,0,2,0
ENSG00000229172,6,8,11,10,9,15,2,8
ENSG00000229212,5,7,10,4,5,0,5,3
ENSG00000229213,0,0,0,0,0,0,0,0
ENSG00000229220,0,0,0,0,0,0,0,0
ENSG00000229247,0,0,0,0,0,0,0,0
